county,state,county_state,unemp_rate,higherunemp,evict_rate,pred_evrate,pred_error,higherevict
Sarpy County,Nebraska,"Sarpy County, NE",0.030299999999999994,0.1303,0.0176,0.021701088877646595,0.0041010888776465936,0.027502614046513756
Sauk County,Wisconsin,"Sauk County, WI",0.0436,0.1436,0.0119,0.018095253963745464,0.006195253963745463,0.022516711463539462
Saunders County,Nebraska,"Saunders County, NE",0.03290000000000001,0.13290000000000002,0.0069,0.016563805929901983,0.009663805929901983,0.02148910528989186
Sawyer County,Wisconsin,"Sawyer County, WI",0.07749999999999999,0.1775,0.0046,0.015321516260887883,0.010721516260887883,0.01941570958655683
Schenectady County,New York,"Schenectady County, NY",0.051199999999999996,0.1512,0.0043,0.021651405033459276,0.017351405033459277,0.026560035309648854
Schleicher County,Texas,"Schleicher County, TX",0.04089999999999999,0.1409,0.0029,0.01006041777359274,0.007160417773592741,0.013032319572060873
Schley County,Georgia,"Schley County, GA",0.0703,0.1703,0.0046,0.013630194478753329,0.009030194478753329,0.017362838642766245
Schoharie County,New York,"Schoharie County, NY",0.0632,0.1632,NA,0.018012158288851263,NA,0.022507000573888786
Schoolcraft County,Michigan,"Schoolcraft County, MI",0.1046,0.2046,0.0025,0.02691316003919961,0.024413160039199612,0.0327154853647568
Schuyler County,Illinois,"Schuyler County, IL",0.062200000000000005,0.1622,0.0034,0.009459747955394643,0.006059747955394643,0.012443867534989075
Schuyler County,Missouri,"Schuyler County, MO",0.06439999999999999,0.1644,0.0065,0.010951936364498425,0.0044519363644984255,0.014249134664810497
Schuyler County,New York,"Schuyler County, NY",0.0688,0.1688,NA,0.010861680004961983,NA,0.013638501675492479
Schuylkill County,Pennsylvania,"Schuylkill County, PA",0.0693,0.1693,0.0253,0.009651409103909457,-0.015648590896090542,0.012231655725723689
Scioto County,Ohio,"Scioto County, OH",0.0867,0.1867,0.0275,0.020216118699040022,-0.007283881300959978,0.025112535284208978
Scotland County,Missouri,"Scotland County, MO",0.043899999999999995,0.1439,9e-4,0.01084312414998031,0.00994312414998031,0.01406209009426112
Scotland County,North Carolina,"Scotland County, NC",0.10919999999999999,0.2092,0.0529,0.024253493369641384,-0.028646506630358618,0.029583434710107517
Scott County,Arkansas,"Scott County, AR",0.0464,0.1464,NA,0.01721276713930562,NA,0.02145499635129554
