county,state,county_state,income_group,shortage
Fulton County,Kentucky,"Fulton County, KY",r_gap30,60
Fulton County,New York,"Fulton County, NY",r_gap30,1110
Fulton County,Ohio,"Fulton County, OH",r_gap30,590
Fulton County,Pennsylvania,"Fulton County, PA",r_gap30,185
Furnas County,Nebraska,"Furnas County, NE",r_gap30,29
Gadsden County,Florida,"Gadsden County, FL",r_gap30,875
Gage County,Nebraska,"Gage County, NE",r_gap30,29
Gaines County,Texas,"Gaines County, TX",r_gap30,55
Galax city,Virginia,"Galax city, VA",r_gap30,240
Gallatin County,Illinois,"Gallatin County, IL",r_gap30,5
Gallatin County,Kentucky,"Gallatin County, KY",r_gap30,90
Gallatin County,Montana,"Gallatin County, MT",r_gap30,2765
Gallia County,Ohio,"Gallia County, OH",r_gap30,235
Galveston County,Texas,"Galveston County, TX",r_gap30,6465
Garden County,Nebraska,"Garden County, NE",r_gap30,39
Garfield County,Colorado,"Garfield County, CO",r_gap30,870
Garfield County,Montana,"Garfield County, MT",r_gap30,10
Garfield County,Nebraska,"Garfield County, NE",r_gap30,20
Garfield County,Oklahoma,"Garfield County, OK",r_gap30,730
Garfield County,Utah,"Garfield County, UT",r_gap30,4
Garfield County,Washington,"Garfield County, WA",r_gap30,64
Garland County,Arkansas,"Garland County, AR",r_gap30,1800
Garrard County,Kentucky,"Garrard County, KY",r_gap30,160
Garrett County,Maryland,"Garrett County, MD",r_gap30,75
Garvin County,Oklahoma,"Garvin County, OK",r_gap30,305
Garza County,Texas,"Garza County, TX",r_gap30,55
Gasconade County,Missouri,"Gasconade County, MO",r_gap30,189
Gaston County,North Carolina,"Gaston County, NC",r_gap30,4785
Gates County,North Carolina,"Gates County, NC",r_gap30,155
Geary County,Kansas,"Geary County, KS",r_gap30,715
Geauga County,Ohio,"Geauga County, OH",r_gap30,540
Gem County,Idaho,"Gem County, ID",r_gap30,245
Genesee County,Michigan,"Genesee County, MI",r_gap30,9760
Genesee County,New York,"Genesee County, NY",r_gap30,1180
Geneva County,Alabama,"Geneva County, AL",r_gap30,281
Gentry County,Missouri,"Gentry County, MO",r_gap30,41
George County,Mississippi,"George County, MS",r_gap30,130
Georgetown County,South Carolina,"Georgetown County, SC",r_gap30,920
Gibson County,Indiana,"Gibson County, IN",r_gap30,240
Gibson County,Tennessee,"Gibson County, TN",r_gap30,665
Gila County,Arizona,"Gila County, AZ",r_gap30,565
Gilchrist County,Florida,"Gilchrist County, FL",r_gap30,210
Giles County,Tennessee,"Giles County, TN",r_gap30,325
Giles County,Virginia,"Giles County, VA",r_gap30,159
Gillespie County,Texas,"Gillespie County, TX",r_gap30,340
Gilliam County,Oregon,"Gilliam County, OR",r_gap30,20
Gilmer County,Georgia,"Gilmer County, GA",r_gap30,350
Gilmer County,West Virginia,"Gilmer County, WV",r_gap30,194
Gilpin County,Colorado,"Gilpin County, CO",r_gap30,35
Glacier County,Montana,"Glacier County, MT",r_gap30,145
Glades County,Florida,"Glades County, FL",r_gap30,134
Gladwin County,Michigan,"Gladwin County, MI",r_gap30,250
Glascock County,Georgia,"Glascock County, GA",r_gap30,5
Glasscock County,Texas,"Glasscock County, TX",r_gap30,0
Glenn County,California,"Glenn County, CA",r_gap30,815
Gloucester County,New Jersey,"Gloucester County, NJ",r_gap30,4000
Gloucester County,Virginia,"Gloucester County, VA",r_gap30,380
Glynn County,Georgia,"Glynn County, GA",r_gap30,1810
Gogebic County,Michigan,"Gogebic County, MI",r_gap30,285
Golden Valley County,Montana,"Golden Valley County, MT",r_gap30,20
Golden Valley County,North Dakota,"Golden Valley County, ND",r_gap30,20
Goliad County,Texas,"Goliad County, TX",r_gap30,45
Gonzales County,Texas,"Gonzales County, TX",r_gap30,290
Goochland County,Virginia,"Goochland County, VA",r_gap30,110
Goodhue County,Minnesota,"Goodhue County, MN",r_gap30,735
Gooding County,Idaho,"Gooding County, ID",r_gap30,109
Gordon County,Georgia,"Gordon County, GA",r_gap30,890
Goshen County,Wyoming,"Goshen County, WY",r_gap30,135
Gosper County,Nebraska,"Gosper County, NE",r_gap30,4
Gove County,Kansas,"Gove County, KS",r_gap30,18
Grady County,Georgia,"Grady County, GA",r_gap30,550
Grady County,Oklahoma,"Grady County, OK",r_gap30,585
Grafton County,New Hampshire,"Grafton County, NH",r_gap30,1480
Graham County,Arizona,"Graham County, AZ",r_gap30,455
Graham County,Kansas,"Graham County, KS",r_gap30,40
Graham County,North Carolina,"Graham County, NC",r_gap30,0
Grainger County,Tennessee,"Grainger County, TN",r_gap30,151
Grand County,Colorado,"Grand County, CO",r_gap30,211
Grand County,Utah,"Grand County, UT",r_gap30,145
Grand Forks County,North Dakota,"Grand Forks County, ND",r_gap30,3355
Grand Isle County,Vermont,"Grand Isle County, VT",r_gap30,115
Grand Traverse County,Michigan,"Grand Traverse County, MI",r_gap30,910
Granite County,Montana,"Granite County, MT",r_gap30,0
Grant County,Arkansas,"Grant County, AR",r_gap30,210
Grant County,Indiana,"Grant County, IN",r_gap30,1245
Grant County,Kansas,"Grant County, KS",r_gap30,50
Grant County,Kentucky,"Grant County, KY",r_gap30,465
Grant County,Minnesota,"Grant County, MN",r_gap30,85
Grant County,North Dakota,"Grant County, ND",r_gap30,0
Grant County,Nebraska,"Grant County, NE",r_gap30,4
Grant County,New Mexico,"Grant County, NM",r_gap30,520
Grant County,Oklahoma,"Grant County, OK",r_gap30,4
Grant County,Oregon,"Grant County, OR",r_gap30,51
Grant County,South Dakota,"Grant County, SD",r_gap30,60
Grant County,Washington,"Grant County, WA",r_gap30,845
Grant County,Wisconsin,"Grant County, WI",r_gap30,675
Grant County,West Virginia,"Grant County, WV",r_gap30,45
Grant Parish,Louisiana,"Grant Parish, LA",r_gap30,359
Granville County,North Carolina,"Granville County, NC",r_gap30,795
Gratiot County,Michigan,"Gratiot County, MI",r_gap30,1016
Graves County,Kentucky,"Graves County, KY",r_gap30,766
Gray County,Kansas,"Gray County, KS",r_gap30,20
Gray County,Texas,"Gray County, TX",r_gap30,95
Grays Harbor County,Washington,"Grays Harbor County, WA",r_gap30,1285
Grayson County,Kentucky,"Grayson County, KY",r_gap30,420
Grayson County,Texas,"Grayson County, TX",r_gap30,2040
Grayson County,Virginia,"Grayson County, VA",r_gap30,140
Greeley County,Kansas,"Greeley County, KS",r_gap30,10
Greeley County,Nebraska,"Greeley County, NE",r_gap30,3
Green County,Kentucky,"Green County, KY",r_gap30,145
Green County,Wisconsin,"Green County, WI",r_gap30,440
Green Lake County,Wisconsin,"Green Lake County, WI",r_gap30,185
Greenbrier County,West Virginia,"Greenbrier County, WV",r_gap30,520
Greene County,Alabama,"Greene County, AL",r_gap30,185
Greene County,Arkansas,"Greene County, AR",r_gap30,665
Greene County,Georgia,"Greene County, GA",r_gap30,305
Greene County,Iowa,"Greene County, IA",r_gap30,145
Greene County,Illinois,"Greene County, IL",r_gap30,95
Greene County,Indiana,"Greene County, IN",r_gap30,270
Greene County,Missouri,"Greene County, MO",r_gap30,9435
Greene County,Mississippi,"Greene County, MS",r_gap30,101
Greene County,North Carolina,"Greene County, NC",r_gap30,334
Greene County,New York,"Greene County, NY",r_gap30,805
Greene County,Ohio,"Greene County, OH",r_gap30,3755
Greene County,Pennsylvania,"Greene County, PA",r_gap30,384
Greene County,Tennessee,"Greene County, TN",r_gap30,1030
Greene County,Virginia,"Greene County, VA",r_gap30,76
Greenlee County,Arizona,"Greenlee County, AZ",r_gap30,0
Greensville County,Virginia,"Greensville County, VA",r_gap30,120
Greenup County,Kentucky,"Greenup County, KY",r_gap30,375
Greenville County,South Carolina,"Greenville County, SC",r_gap30,9475
Greenwood County,Kansas,"Greenwood County, KS",r_gap30,60
Greenwood County,South Carolina,"Greenwood County, SC",r_gap30,1730
Greer County,Oklahoma,"Greer County, OK",r_gap30,55
Gregg County,Texas,"Gregg County, TX",r_gap30,2460
Gregory County,South Dakota,"Gregory County, SD",r_gap30,55
Grenada County,Mississippi,"Grenada County, MS",r_gap30,75
Griggs County,North Dakota,"Griggs County, ND",r_gap30,18
Grimes County,Texas,"Grimes County, TX",r_gap30,29
Grundy County,Iowa,"Grundy County, IA",r_gap30,93
Grundy County,Illinois,"Grundy County, IL",r_gap30,760
Grundy County,Missouri,"Grundy County, MO",r_gap30,230
Grundy County,Tennessee,"Grundy County, TN",r_gap30,135
Guadalupe County,New Mexico,"Guadalupe County, NM",r_gap30,29
Guadalupe County,Texas,"Guadalupe County, TX",r_gap30,1415
Guernsey County,Ohio,"Guernsey County, OH",r_gap30,760
Guilford County,North Carolina,"Guilford County, NC",r_gap30,11925
Gulf County,Florida,"Gulf County, FL",r_gap30,50
Gunnison County,Colorado,"Gunnison County, CO",r_gap30,320
Guthrie County,Iowa,"Guthrie County, IA",r_gap30,34
Gwinnett County,Georgia,"Gwinnett County, GA",r_gap30,13225
Haakon County,South Dakota,"Haakon County, SD",r_gap30,0
Habersham County,Georgia,"Habersham County, GA",r_gap30,520
Haines Borough,Alaska,"Haines Borough, AK",r_gap30,20
Hale County,Alabama,"Hale County, AL",r_gap30,300
Hale County,Texas,"Hale County, TX",r_gap30,570
Halifax County,North Carolina,"Halifax County, NC",r_gap30,1475
Halifax County,Virginia,"Halifax County, VA",r_gap30,620
Hall County,Georgia,"Hall County, GA",r_gap30,2560
Hall County,Nebraska,"Hall County, NE",r_gap30,1100
Hall County,Texas,"Hall County, TX",r_gap30,35
Hamblen County,Tennessee,"Hamblen County, TN",r_gap30,1170
Hamilton County,Florida,"Hamilton County, FL",r_gap30,65
Hamilton County,Iowa,"Hamilton County, IA",r_gap30,285
Hamilton County,Illinois,"Hamilton County, IL",r_gap30,70
Hamilton County,Indiana,"Hamilton County, IN",r_gap30,2315
Hamilton County,Kansas,"Hamilton County, KS",r_gap30,0
Hamilton County,Nebraska,"Hamilton County, NE",r_gap30,50
Hamilton County,New York,"Hamilton County, NY",r_gap30,13
Hamilton County,Ohio,"Hamilton County, OH",r_gap30,28380
Hamilton County,Tennessee,"Hamilton County, TN",r_gap30,6900
Hamilton County,Texas,"Hamilton County, TX",r_gap30,40
Hamlin County,South Dakota,"Hamlin County, SD",r_gap30,29
Hampden County,Massachusetts,"Hampden County, MA",r_gap30,13945
Hampshire County,Massachusetts,"Hampshire County, MA",r_gap30,3865
Hampshire County,West Virginia,"Hampshire County, WV",r_gap30,310
Hampton city,Virginia,"Hampton city, VA",r_gap30,3995
Hampton County,South Carolina,"Hampton County, SC",r_gap30,30
Hancock County,Georgia,"Hancock County, GA",r_gap30,24
Hancock County,Iowa,"Hancock County, IA",r_gap30,60
Hancock County,Illinois,"Hancock County, IL",r_gap30,70
Hancock County,Indiana,"Hancock County, IN",r_gap30,810
Hancock County,Kentucky,"Hancock County, KY",r_gap30,65
Hancock County,Maine,"Hancock County, ME",r_gap30,895
Hancock County,Mississippi,"Hancock County, MS",r_gap30,480
Hancock County,Ohio,"Hancock County, OH",r_gap30,1465
Hancock County,Tennessee,"Hancock County, TN",r_gap30,25
Hancock County,West Virginia,"Hancock County, WV",r_gap30,450
Hand County,South Dakota,"Hand County, SD",r_gap30,14
Hanover County,Virginia,"Hanover County, VA",r_gap30,955
Hansford County,Texas,"Hansford County, TX",r_gap30,50
Hanson County,South Dakota,"Hanson County, SD",r_gap30,0
Haralson County,Georgia,"Haralson County, GA",r_gap30,635
Hardee County,Florida,"Hardee County, FL",r_gap30,245
Hardeman County,Tennessee,"Hardeman County, TN",r_gap30,446
Hardeman County,Texas,"Hardeman County, TX",r_gap30,44
Hardin County,Iowa,"Hardin County, IA",r_gap30,45
Hardin County,Illinois,"Hardin County, IL",r_gap30,0
Hardin County,Kentucky,"Hardin County, KY",r_gap30,2040
Hardin County,Ohio,"Hardin County, OH",r_gap30,450
Hardin County,Tennessee,"Hardin County, TN",r_gap30,205
Hardin County,Texas,"Hardin County, TX",r_gap30,505
Harding County,New Mexico,"Harding County, NM",r_gap30,0
Harding County,South Dakota,"Harding County, SD",r_gap30,4
Hardy County,West Virginia,"Hardy County, WV",r_gap30,30
Harford County,Maryland,"Harford County, MD",r_gap30,3420
Harlan County,Kentucky,"Harlan County, KY",r_gap30,825
Harlan County,Nebraska,"Harlan County, NE",r_gap30,30
Harmon County,Oklahoma,"Harmon County, OK",r_gap30,45
Harnett County,North Carolina,"Harnett County, NC",r_gap30,2290
Harney County,Oregon,"Harney County, OR",r_gap30,59
Harper County,Kansas,"Harper County, KS",r_gap30,0
Harper County,Oklahoma,"Harper County, OK",r_gap30,36
Harris County,Georgia,"Harris County, GA",r_gap30,264
Harris County,Texas,"Harris County, TX",r_gap30,122665
Harrison County,Iowa,"Harrison County, IA",r_gap30,164
Harrison County,Indiana,"Harrison County, IN",r_gap30,195
Harrison County,Kentucky,"Harrison County, KY",r_gap30,305
Harrison County,Missouri,"Harrison County, MO",r_gap30,95
Harrison County,Mississippi,"Harrison County, MS",r_gap30,4980
Harrison County,Ohio,"Harrison County, OH",r_gap30,165
Harrison County,Texas,"Harrison County, TX",r_gap30,715
Harrison County,West Virginia,"Harrison County, WV",r_gap30,1030
Harrisonburg city,Virginia,"Harrisonburg city, VA",r_gap30,1995
Hart County,Georgia,"Hart County, GA",r_gap30,450
Hart County,Kentucky,"Hart County, KY",r_gap30,215
Hartford County,Connecticut,"Hartford County, CT",r_gap30,24220
Hartley County,Texas,"Hartley County, TX",r_gap30,30
Harvey County,Kansas,"Harvey County, KS",r_gap30,725
Haskell County,Kansas,"Haskell County, KS",r_gap30,0
Haskell County,Oklahoma,"Haskell County, OK",r_gap30,100
Haskell County,Texas,"Haskell County, TX",r_gap30,49
Hawaii County,Hawaii,"Hawaii County, HI",r_gap30,3120
Hawkins County,Tennessee,"Hawkins County, TN",r_gap30,865
Hayes County,Nebraska,"Hayes County, NE",r_gap30,0
Hays County,Texas,"Hays County, TX",r_gap30,5405
Haywood County,North Carolina,"Haywood County, NC",r_gap30,1270
Haywood County,Tennessee,"Haywood County, TN",r_gap30,620
Heard County,Georgia,"Heard County, GA",r_gap30,180
Hemphill County,Texas,"Hemphill County, TX",r_gap30,70
Hempstead County,Arkansas,"Hempstead County, AR",r_gap30,125
Henderson County,Illinois,"Henderson County, IL",r_gap30,50
Henderson County,Kentucky,"Henderson County, KY",r_gap30,1085
Henderson County,North Carolina,"Henderson County, NC",r_gap30,1375
Henderson County,Tennessee,"Henderson County, TN",r_gap30,690
Henderson County,Texas,"Henderson County, TX",r_gap30,1020
Hendricks County,Indiana,"Hendricks County, IN",r_gap30,1220
Hendry County,Florida,"Hendry County, FL",r_gap30,650
Hennepin County,Minnesota,"Hennepin County, MN",r_gap30,33270
Henrico County,Virginia,"Henrico County, VA",r_gap30,6555
Henry County,Alabama,"Henry County, AL",r_gap30,70
Henry County,Georgia,"Henry County, GA",r_gap30,2700
Henry County,Iowa,"Henry County, IA",r_gap30,229
Henry County,Illinois,"Henry County, IL",r_gap30,305
Henry County,Indiana,"Henry County, IN",r_gap30,660
Henry County,Kentucky,"Henry County, KY",r_gap30,295
Henry County,Missouri,"Henry County, MO",r_gap30,291
Henry County,Ohio,"Henry County, OH",r_gap30,235
Henry County,Tennessee,"Henry County, TN",r_gap30,480
Henry County,Virginia,"Henry County, VA",r_gap30,870
Herkimer County,New York,"Herkimer County, NY",r_gap30,990
Hernando County,Florida,"Hernando County, FL",r_gap30,2240
Hertford County,North Carolina,"Hertford County, NC",r_gap30,555
Hettinger County,North Dakota,"Hettinger County, ND",r_gap30,10
Hickman County,Kentucky,"Hickman County, KY",r_gap30,33
Hickman County,Tennessee,"Hickman County, TN",r_gap30,290
Hickory County,Missouri,"Hickory County, MO",r_gap30,85
Hidalgo County,New Mexico,"Hidalgo County, NM",r_gap30,55
Hidalgo County,Texas,"Hidalgo County, TX",r_gap30,15965
Highland County,Ohio,"Highland County, OH",r_gap30,1075
Highland County,Virginia,"Highland County, VA",r_gap30,10
Highlands County,Florida,"Highlands County, FL",r_gap30,1155
Hill County,Montana,"Hill County, MT",r_gap30,314
Hill County,Texas,"Hill County, TX",r_gap30,355
Hillsborough County,Florida,"Hillsborough County, FL",r_gap30,30795
Hillsborough County,New Hampshire,"Hillsborough County, NH",r_gap30,8435
Hillsdale County,Michigan,"Hillsdale County, MI",r_gap30,590
Hinds County,Mississippi,"Hinds County, MS",r_gap30,7005
Hinsdale County,Colorado,"Hinsdale County, CO",r_gap30,4
Hitchcock County,Nebraska,"Hitchcock County, NE",r_gap30,34
Hocking County,Ohio,"Hocking County, OH",r_gap30,390
Hockley County,Texas,"Hockley County, TX",r_gap30,330
Hodgeman County,Kansas,"Hodgeman County, KS",r_gap30,0
Hoke County,North Carolina,"Hoke County, NC",r_gap30,980
Holmes County,Florida,"Holmes County, FL",r_gap30,144
Holmes County,Mississippi,"Holmes County, MS",r_gap30,475
Holmes County,Ohio,"Holmes County, OH",r_gap30,286
Holt County,Missouri,"Holt County, MO",r_gap30,66
Holt County,Nebraska,"Holt County, NE",r_gap30,75
Honolulu County,Hawaii,"Honolulu County, HI",r_gap30,19420
Hood County,Texas,"Hood County, TX",r_gap30,675
Hood River County,Oregon,"Hood River County, OR",r_gap30,190
Hooker County,Nebraska,"Hooker County, NE",r_gap30,0
Hoonah-Angoon Census Area,Alaska,"Hoonah-Angoon Census Area, AK",r_gap30,10
Hopewell city,Virginia,"Hopewell city, VA",r_gap30,940
Hopkins County,Kentucky,"Hopkins County, KY",r_gap30,1005
Hopkins County,Texas,"Hopkins County, TX",r_gap30,550
Horry County,South Carolina,"Horry County, SC",r_gap30,4610
Hot Spring County,Arkansas,"Hot Spring County, AR",r_gap30,655
Hot Springs County,Wyoming,"Hot Springs County, WY",r_gap30,60
Houghton County,Michigan,"Houghton County, MI",r_gap30,985
Houston County,Alabama,"Houston County, AL",r_gap30,1900
Houston County,Georgia,"Houston County, GA",r_gap30,3685
Houston County,Minnesota,"Houston County, MN",r_gap30,119
Houston County,Tennessee,"Houston County, TN",r_gap30,121
Houston County,Texas,"Houston County, TX",r_gap30,540
Howard County,Arkansas,"Howard County, AR",r_gap30,89
Howard County,Iowa,"Howard County, IA",r_gap30,100
Howard County,Indiana,"Howard County, IN",r_gap30,1835
Howard County,Maryland,"Howard County, MD",r_gap30,3495
Howard County,Missouri,"Howard County, MO",r_gap30,64
Howard County,Nebraska,"Howard County, NE",r_gap30,5
Howard County,Texas,"Howard County, TX",r_gap30,335
Howell County,Missouri,"Howell County, MO",r_gap30,645
Hubbard County,Minnesota,"Hubbard County, MN",r_gap30,185
Hudson County,New Jersey,"Hudson County, NJ",r_gap30,27750
Hudspeth County,Texas,"Hudspeth County, TX",r_gap30,21
Huerfano County,Colorado,"Huerfano County, CO",r_gap30,84
Hughes County,Oklahoma,"Hughes County, OK",r_gap30,15
Hughes County,South Dakota,"Hughes County, SD",r_gap30,170
Humboldt County,California,"Humboldt County, CA",r_gap30,3865
Humboldt County,Iowa,"Humboldt County, IA",r_gap30,119
Humboldt County,Nevada,"Humboldt County, NV",r_gap30,150
Humphreys County,Mississippi,"Humphreys County, MS",r_gap30,209
Humphreys County,Tennessee,"Humphreys County, TN",r_gap30,290
Hunt County,Texas,"Hunt County, TX",r_gap30,2315
Hunterdon County,New Jersey,"Hunterdon County, NJ",r_gap30,1420
Huntingdon County,Pennsylvania,"Huntingdon County, PA",r_gap30,450
Huntington County,Indiana,"Huntington County, IN",r_gap30,470
Huron County,Michigan,"Huron County, MI",r_gap30,420
Huron County,Ohio,"Huron County, OH",r_gap30,810
Hutchinson County,South Dakota,"Hutchinson County, SD",r_gap30,54
Hutchinson County,Texas,"Hutchinson County, TX",r_gap30,165
Hyde County,North Carolina,"Hyde County, NC",r_gap30,105
Hyde County,South Dakota,"Hyde County, SD",r_gap30,4
Iberia Parish,Louisiana,"Iberia Parish, LA",r_gap30,1090
Iberville Parish,Louisiana,"Iberville Parish, LA",r_gap30,495
Ida County,Iowa,"Ida County, IA",r_gap30,34
Idaho County,Idaho,"Idaho County, ID",r_gap30,136
Imperial County,California,"Imperial County, CA",r_gap30,3840
Independence County,Arkansas,"Independence County, AR",r_gap30,515
Indian River County,Florida,"Indian River County, FL",r_gap30,1625
Indiana County,Pennsylvania,"Indiana County, PA",r_gap30,1960
Ingham County,Michigan,"Ingham County, MI",r_gap30,10135
Inyo County,California,"Inyo County, CA",r_gap30,306
Ionia County,Michigan,"Ionia County, MI",r_gap30,680
Iosco County,Michigan,"Iosco County, MI",r_gap30,320
Iowa County,Iowa,"Iowa County, IA",r_gap30,115
Iowa County,Wisconsin,"Iowa County, WI",r_gap30,209
Iredell County,North Carolina,"Iredell County, NC",r_gap30,2330
Irion County,Texas,"Irion County, TX",r_gap30,20
Iron County,Michigan,"Iron County, MI",r_gap30,64
Iron County,Missouri,"Iron County, MO",r_gap30,160
Iron County,Utah,"Iron County, UT",r_gap30,1020
Iron County,Wisconsin,"Iron County, WI",r_gap30,64
Iroquois County,Illinois,"Iroquois County, IL",r_gap30,450
Irwin County,Georgia,"Irwin County, GA",r_gap30,95
Isabella County,Michigan,"Isabella County, MI",r_gap30,2390
Isanti County,Minnesota,"Isanti County, MN",r_gap30,430
Island County,Washington,"Island County, WA",r_gap30,1000
Isle of Wight County,Virginia,"Isle of Wight County, VA",r_gap30,430
Issaquena County,Mississippi,"Issaquena County, MS",r_gap30,24
Itasca County,Minnesota,"Itasca County, MN",r_gap30,560
Itawamba County,Mississippi,"Itawamba County, MS",r_gap30,310
Izard County,Arkansas,"Izard County, AR",r_gap30,90
Jack County,Texas,"Jack County, TX",r_gap30,36
Jackson County,Alabama,"Jackson County, AL",r_gap30,375
Jackson County,Arkansas,"Jackson County, AR",r_gap30,265
Jackson County,Colorado,"Jackson County, CO",r_gap30,24
Jackson County,Florida,"Jackson County, FL",r_gap30,805
Jackson County,Georgia,"Jackson County, GA",r_gap30,899
Jackson County,Iowa,"Jackson County, IA",r_gap30,200
Jackson County,Illinois,"Jackson County, IL",r_gap30,3385
Jackson County,Indiana,"Jackson County, IN",r_gap30,755
Jackson County,Kansas,"Jackson County, KS",r_gap30,145
Jackson County,Kentucky,"Jackson County, KY",r_gap30,120
Jackson County,Michigan,"Jackson County, MI",r_gap30,2260
Jackson County,Minnesota,"Jackson County, MN",r_gap30,45
Jackson County,Missouri,"Jackson County, MO",r_gap30,21380
Jackson County,Mississippi,"Jackson County, MS",r_gap30,2590
Jackson County,North Carolina,"Jackson County, NC",r_gap30,865
Jackson County,Ohio,"Jackson County, OH",r_gap30,600
Jackson County,Oklahoma,"Jackson County, OK",r_gap30,435
Jackson County,Oregon,"Jackson County, OR",r_gap30,5035
Jackson County,South Dakota,"Jackson County, SD",r_gap30,35
Jackson County,Tennessee,"Jackson County, TN",r_gap30,124
Jackson County,Texas,"Jackson County, TX",r_gap30,200
Jackson County,Wisconsin,"Jackson County, WI",r_gap30,185
Jackson County,West Virginia,"Jackson County, WV",r_gap30,310
Jackson Parish,Louisiana,"Jackson Parish, LA",r_gap30,325
James City County,Virginia,"James City County, VA",r_gap30,725
Jasper County,Georgia,"Jasper County, GA",r_gap30,90
Jasper County,Iowa,"Jasper County, IA",r_gap30,400
Jasper County,Illinois,"Jasper County, IL",r_gap30,185
Jasper County,Indiana,"Jasper County, IN",r_gap30,430
Jasper County,Missouri,"Jasper County, MO",r_gap30,2370
Jasper County,Mississippi,"Jasper County, MS",r_gap30,120
Jasper County,South Carolina,"Jasper County, SC",r_gap30,400
Jasper County,Texas,"Jasper County, TX",r_gap30,284
Jay County,Indiana,"Jay County, IN",r_gap30,250
Jeff Davis County,Georgia,"Jeff Davis County, GA",r_gap30,105
Jeff Davis County,Texas,"Jeff Davis County, TX",r_gap30,0
Jefferson County,Alabama,"Jefferson County, AL",r_gap30,17055
Jefferson County,Arkansas,"Jefferson County, AR",r_gap30,1430
Jefferson County,Colorado,"Jefferson County, CO",r_gap30,9515
Jefferson County,Florida,"Jefferson County, FL",r_gap30,115
Jefferson County,Georgia,"Jefferson County, GA",r_gap30,469
Jefferson County,Iowa,"Jefferson County, IA",r_gap30,369
Jefferson County,Idaho,"Jefferson County, ID",r_gap30,150
Jefferson County,Illinois,"Jefferson County, IL",r_gap30,630
Jefferson County,Indiana,"Jefferson County, IN",r_gap30,650
Jefferson County,Kansas,"Jefferson County, KS",r_gap30,120
Jefferson County,Kentucky,"Jefferson County, KY",r_gap30,20385
Jefferson County,Missouri,"Jefferson County, MO",r_gap30,2790
Jefferson County,Mississippi,"Jefferson County, MS",r_gap30,135
Jefferson County,Montana,"Jefferson County, MT",r_gap30,10
Jefferson County,Nebraska,"Jefferson County, NE",r_gap30,40
Jefferson County,New York,"Jefferson County, NY",r_gap30,2110
Jefferson County,Ohio,"Jefferson County, OH",r_gap30,1085
Jefferson County,Oklahoma,"Jefferson County, OK",r_gap30,45
Jefferson County,Oregon,"Jefferson County, OR",r_gap30,324
Jefferson County,Pennsylvania,"Jefferson County, PA",r_gap30,515
Jefferson County,Tennessee,"Jefferson County, TN",r_gap30,579
Jefferson County,Texas,"Jefferson County, TX",r_gap30,5605
Jefferson County,Washington,"Jefferson County, WA",r_gap30,400
Jefferson County,Wisconsin,"Jefferson County, WI",r_gap30,1300
Jefferson County,West Virginia,"Jefferson County, WV",r_gap30,865
Jefferson Davis County,Mississippi,"Jefferson Davis County, MS",r_gap30,260
Jefferson Davis Parish,Louisiana,"Jefferson Davis Parish, LA",r_gap30,250
Jefferson Parish,Louisiana,"Jefferson Parish, LA",r_gap30,11155
Jenkins County,Georgia,"Jenkins County, GA",r_gap30,165
Jennings County,Indiana,"Jennings County, IN",r_gap30,350
Jerauld County,South Dakota,"Jerauld County, SD",r_gap30,10
Jerome County,Idaho,"Jerome County, ID",r_gap30,200
Jersey County,Illinois,"Jersey County, IL",r_gap30,305
Jessamine County,Kentucky,"Jessamine County, KY",r_gap30,1320
Jewell County,Kansas,"Jewell County, KS",r_gap30,0
Jim Hogg County,Texas,"Jim Hogg County, TX",r_gap30,80
Jim Wells County,Texas,"Jim Wells County, TX",r_gap30,650
Jo Daviess County,Illinois,"Jo Daviess County, IL",r_gap30,145
Johnson County,Arkansas,"Johnson County, AR",r_gap30,405
Johnson County,Georgia,"Johnson County, GA",r_gap30,211
Johnson County,Iowa,"Johnson County, IA",r_gap30,7465
Johnson County,Illinois,"Johnson County, IL",r_gap30,75
Johnson County,Indiana,"Johnson County, IN",r_gap30,1895
Johnson County,Kansas,"Johnson County, KS",r_gap30,7100
Johnson County,Kentucky,"Johnson County, KY",r_gap30,400
Johnson County,Missouri,"Johnson County, MO",r_gap30,1355
Johnson County,Nebraska,"Johnson County, NE",r_gap30,54
Johnson County,Tennessee,"Johnson County, TN",r_gap30,189
Johnson County,Texas,"Johnson County, TX",r_gap30,1750
Johnson County,Wyoming,"Johnson County, WY",r_gap30,125
Johnston County,North Carolina,"Johnston County, NC",r_gap30,3275
Johnston County,Oklahoma,"Johnston County, OK",r_gap30,55
Jones County,Georgia,"Jones County, GA",r_gap30,310
Jones County,Iowa,"Jones County, IA",r_gap30,265
Jones County,Mississippi,"Jones County, MS",r_gap30,760
Jones County,North Carolina,"Jones County, NC",r_gap30,205
Jones County,South Dakota,"Jones County, SD",r_gap30,10
Jones County,Texas,"Jones County, TX",r_gap30,100
Josephine County,Oregon,"Josephine County, OR",r_gap30,1745
Juab County,Utah,"Juab County, UT",r_gap30,60
Judith Basin County,Montana,"Judith Basin County, MT",r_gap30,0
Juneau City and Borough,Alaska,"Juneau City and Borough, AK",r_gap30,335
Juneau County,Wisconsin,"Juneau County, WI",r_gap30,240
Juniata County,Pennsylvania,"Juniata County, PA",r_gap30,245
Kalamazoo County,Michigan,"Kalamazoo County, MI",r_gap30,5900
Kalawao County,Hawaii,"Kalawao County, HI",r_gap30,0
